# Number of wavelengths (nwvl):
 200
# Number of radius (nsize):
   30
# Wavelength axis (wvl):
 0.250000E+00 0.268800E+00 0.287700E+00 0.306500E+00 0.325300E+00
 0.344200E+00 0.363000E+00 0.381800E+00 0.400700E+00 0.419500E+00
 0.438300E+00 0.457200E+00 0.476000E+00 0.494800E+00 0.513700E+00
 0.532500E+00 0.551300E+00 0.570200E+00 0.589000E+00 0.607800E+00
 0.626700E+00 0.645500E+00 0.664300E+00 0.683200E+00 0.702000E+00
 0.720800E+00 0.739700E+00 0.758500E+00 0.777300E+00 0.796200E+00
 0.815000E+00 0.833800E+00 0.852700E+00 0.871500E+00 0.890300E+00
 0.909200E+00 0.928000E+00 0.946800E+00 0.965700E+00 0.984500E+00
 0.100300E+01 0.102200E+01 0.104100E+01 0.106000E+01 0.107900E+01
 0.109800E+01 0.111600E+01 0.113500E+01 0.115400E+01 0.117300E+01
 0.119200E+01 0.121100E+01 0.122900E+01 0.124800E+01 0.126700E+01
 0.128600E+01 0.130500E+01 0.132400E+01 0.134200E+01 0.136100E+01
 0.138000E+01 0.139900E+01 0.141800E+01 0.143700E+01 0.145500E+01
 0.147400E+01 0.149300E+01 0.151200E+01 0.153100E+01 0.155000E+01
 0.156800E+01 0.158700E+01 0.160600E+01 0.162500E+01 0.164400E+01
 0.166300E+01 0.168100E+01 0.170000E+01 0.171900E+01 0.173800E+01
 0.175700E+01 0.177600E+01 0.179400E+01 0.181300E+01 0.183200E+01
 0.185100E+01 0.187000E+01 0.188900E+01 0.190700E+01 0.192600E+01
 0.194500E+01 0.196400E+01 0.198300E+01 0.200200E+01 0.202000E+01
 0.203900E+01 0.205800E+01 0.207700E+01 0.209600E+01 0.211500E+01
 0.213300E+01 0.215200E+01 0.217100E+01 0.219000E+01 0.220900E+01
 0.222800E+01 0.224600E+01 0.226500E+01 0.228400E+01 0.230300E+01
 0.232200E+01 0.234100E+01 0.235900E+01 0.237800E+01 0.239700E+01
 0.241600E+01 0.243500E+01 0.245400E+01 0.247200E+01 0.249100E+01
 0.251000E+01 0.252900E+01 0.254800E+01 0.256700E+01 0.258500E+01
 0.260400E+01 0.262300E+01 0.264200E+01 0.266100E+01 0.268000E+01
 0.269800E+01 0.271700E+01 0.273600E+01 0.275500E+01 0.277400E+01
 0.279300E+01 0.281100E+01 0.283000E+01 0.284900E+01 0.286800E+01
 0.288700E+01 0.290600E+01 0.292400E+01 0.294300E+01 0.296200E+01
 0.298100E+01 0.300000E+01 0.301900E+01 0.303700E+01 0.305600E+01
 0.307500E+01 0.309400E+01 0.311300E+01 0.313200E+01 0.315000E+01
 0.316900E+01 0.318800E+01 0.320700E+01 0.322600E+01 0.324500E+01
 0.326300E+01 0.328200E+01 0.330100E+01 0.332000E+01 0.333900E+01
 0.335800E+01 0.337600E+01 0.339500E+01 0.341400E+01 0.343300E+01
 0.345200E+01 0.347100E+01 0.348900E+01 0.350800E+01 0.352700E+01
 0.354600E+01 0.356500E+01 0.358400E+01 0.360200E+01 0.362100E+01
 0.364000E+01 0.365900E+01 0.367800E+01 0.369700E+01 0.371500E+01
 0.373400E+01 0.375300E+01 0.377200E+01 0.379100E+01 0.381000E+01
 0.382800E+01 0.384700E+01 0.386600E+01 0.388500E+01 0.390400E+01
 0.392300E+01 0.394100E+01 0.396000E+01 0.397900E+01 0.399800E+01
# Particle size axis (radius):
 0.500000E-07 0.649828E-07 0.844554E-07 0.109763E-06 0.142654E-06
 0.185401E-06 0.240958E-06 0.313163E-06 0.407004E-06 0.528966E-06
 0.687474E-06 0.893480E-06 0.116122E-05 0.150918E-05 0.196142E-05
 0.254917E-05 0.331305E-05 0.430583E-05 0.559610E-05 0.727301E-05
 0.945241E-05 0.122849E-04 0.159661E-04 0.207505E-04 0.269685E-04
 0.350498E-04 0.455527E-04 0.592029E-04 0.769434E-04 0.100000E-03
# Extinction coef. Qext (ep):
# Radius number     1
 0.512556E+00 0.394599E+00 0.308240E+00 0.245047E+00 0.197997E+00
 0.161637E+00 0.133499E+00 0.110832E+00 0.928812E-01 0.786317E-01
 0.668626E-01 0.570292E-01 0.491377E-01 0.424980E-01 0.366936E-01
 0.321195E-01 0.280845E-01 0.246225E-01 0.216667E-01 0.192243E-01
 0.170180E-01 0.151892E-01 0.135316E-01 0.121374E-01 0.108707E-01
 0.980638E-02 0.882212E-02 0.799578E-02 0.726329E-02 0.657553E-02
 0.599831E-02 0.548329E-02 0.499662E-02 0.458435E-02 0.421323E-02
 0.387717E-02 0.355904E-02 0.328687E-02 0.303906E-02 0.281518E-02
 0.260272E-02 0.241572E-02 0.224508E-02 0.208928E-02 0.194673E-02
 0.180789E-02 0.169458E-02 0.158435E-02 0.148299E-02 0.138959E-02
 0.129753E-02 0.121828E-02 0.114864E-02 0.108050E-02 0.101733E-02
 0.958696E-03 0.904143E-03 0.853312E-03 0.804975E-03 0.760984E-03
 0.720078E-03 0.681896E-03 0.646322E-03 0.616295E-03 0.583059E-03
 0.553630E-03 0.526029E-03 0.497867E-03 0.473661E-03 0.450907E-03
 0.430600E-03 0.410392E-03 0.391388E-03 0.373353E-03 0.356412E-03
 0.340422E-03 0.326087E-03 0.311768E-03 0.298221E-03 0.284128E-03
 0.272049E-03 0.260605E-03 0.250313E-03 0.239995E-03 0.230209E-03
 0.220919E-03 0.212227E-03 0.203697E-03 0.196168E-03 0.189128E-03
 0.183244E-03 0.190825E-03 0.172404E-03 0.167264E-03 0.159785E-03
 0.151171E-03 0.145602E-03 0.139505E-03 0.134063E-03 0.129197E-03
